id,objek,nama,letak,kecamatan,kabupaten,kode_pos,potensi,image_url
19,Pantai,Pantai Lasiana,Lasiana,Kelapa lima,Kota Kupang,,Pantai berpasir putih dan Pepohonan Nyiur dan Lontar,https://i.imgur.com/Kzbxy0J.jpeg
20,Pantai,Pantai Nunsui,Lasiana,Kelapa lima,Kota Kupang,,Pantai berpasir putih bersih dan aneka pepohonan rindang,https://i.imgur.com/gyunjuT.jpeg
21,Pantai,Pantai Ketapang Satu,Tode Kisar,Kota lama,Kota Kupang,,Pantai karang indah,https://i.imgur.com/1Oqj9Ov.jpeg
22,Pantai,Pantai Nunhila,Nunhila,Alak,Kota Kupang,,Pantai dan gua alam indah,https://i.imgur.com/zTDWg9C.jpeg
23,Pantai,Pantai Namosain,Namosain,Alak,Kota Kupang,,Pantai indah dan bersih & Pelabuhan rakyat,https://i.imgur.com/YtjbY5Y.jpeg
24,Pantai,Pantai Pasir Panjang,Pasir panjang,Kota lama,Kota Kupang,,Pantai berpasir putih bersih,https://i.imgur.com/nyyZkYv.jpeg
25,Pantai,Pantai Manikin,Manikin,Kupang Tengah,Kabupaten Kupang,,Tempat rekreasi pasir putih,https://i.imgur.com/6ZFtkxW.jpeg
26,Pantai,Pantai Sulamu,Sulamu,Sulamu,Kabupaten Kupang,,Pasir putih,https://i.imgur.com/4x4pNHc.jpeg
27,Pantai,Pantai Oesina,Lifuleo,Kupang Barat,Kabupaten Kupang,,"Pasir putih, rekreasi, mandi, camping",https://i.imgur.com/QzsdClD.jpeg
28,Pantai,Pantai Otan,Otan,Semau,Kabupaten Kupang,,"Pasir putih, rekreasi, mandi, menyelam",https://i.imgur.com/aWZNUNJ.jpeg
29,Pantai,Pantai Pulau Kera,Uiasa,Semau,Kabupaten Kupang,,"Pasir putih, rekreasi, mandi, menyelam",https://i.imgur.com/y8eUFo9.jpeg
30,Pantai,Pantai Waijarang,,,Lembata,,,https://i.imgur.com/Q75FI7A.jpeg
31,Pantai,Pantai Lewolein,,,Lembata,,,https://i.imgur.com/nvAFdUP.jpeg
32,Pantai,Pantai Pasir Putih Mingar,,,Lembata,,,https://i.imgur.com/8UBWgld.jpeg
33,Pantai,Pantai Tanjung Bajau,,,Lembata,,,https://i.imgur.com/k0FzPGh.jpeg
34,Pantai,Pantai Bean,,,Lembata,,,https://i.imgur.com/XDJ9qYv.jpeg
35,Pantai,Pantai Motadikin,,,Malaka,,,https://i.imgur.com/FaR5RiF.jpeg
36,Pantai,Pantai Abudenok,,,Malaka,,,https://i.imgur.com/S9b1E3S.jpeg
37,Pantai,Pantai Taberek,,,Malaka,,,https://i.imgur.com/8Eavhnh.jpeg
38,Pantai,Pantai Loodik,,,Malaka,,,https://i.imgur.com/XcFhSUC.jpeg
39,Pantai,Pantai Ketebe,"Pantai Ketebe, Kel. Wangkung",Reok,Manggarai,,Pantai berpasir putih˜˜dengan air˜˜jernih dan trumbu karang,https://i.imgur.com/QgmpufC.jpeg
40,Pantai,Sengari,"Sengarai, Kelurahan Wangkung",Reok,Manggarai,,Pantai yang indah dengan pasir halus.,https://i.imgur.com/qHeprNG.jpeg
41,Pantai,Pantai Torong Besi,"Torong Besi, Kel. Wangkung",Reok,Manggarai,,Pantai berpasir putih˜˜dengan air˜˜jernih dan terumbu karang.,https://i.imgur.com/nw5kMGl.jpeg
42,Pantai,Kawasan Taman Nasional Komodo,"Pulau Komodo, Pulau Rinca, Pulau Padar",,Manggarai Barat,,Komodo watching,https://i.imgur.com/XOR8xfj.jpeg
